"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant"
"PARP8",96.0641210851203,-0.26169221767853,0.110145925767207,-2.37586833880369,0.0175077086097761,0.0341861178532453,FALSE
"VPS16",246.214178044033,-0.218416636937236,0.091991487799815,-2.37431356053875,0.0175816127480557,0.0343255281126805,FALSE
"RAB3GAP2",339.069138421231,0.36321608219592,0.152989650911614,2.37412190976081,0.0175907414962715,0.0343384521634534,TRUE
"PLA2G4A",14.9747819520912,-0.540209181225847,0.227674648363114,-2.37272434638519,0.0176574362240007,0.0344637296294457,TRUE
"CNIH3",14.3984848300379,0.51089862991831,0.215327987727368,2.37265315721601,0.0176608394485549,0.0344654568220337,TRUE
"CTSS",1667.90868306922,-0.371161643683633,0.156437120413449,-2.37259317163782,0.0176637075275838,0.0344661393245668,TRUE
"CBR3",6.37161759401439,0.804205368553844,0.338972200121178,2.3724817795275,0.0176690345802538,0.0344716189971993,TRUE
"NNT",2695.17187303358,-0.24035748039172,0.101400871349289,-2.37036898394864,0.0177703407793893,0.0346643221075716,FALSE
"DNAJC21",524.774262633096,0.123433239811303,0.0520947578285289,2.3693984760921,0.0178170459033548,0.0347504760201387,FALSE
"PGM2",194.817618934223,0.301261653328241,0.127181304848322,2.36875737112094,0.0178479576674761,0.0348058063033739,TRUE
"WBP1L",1012.64015335665,-0.218442022053682,0.0922317095625798,-2.36840478279834,0.0178649782213239,0.0348340350387574,FALSE
"ARL10",33.8474108775457,0.400949407223606,0.169301498350981,2.368256696656,0.017872131047532,0.0348430178798466,TRUE
"MRGBP",105.16105840555,0.256919964191817,0.108488012173898,2.36818759090169,0.0178754698379449,0.0348445634812866,FALSE
"SELENBP1",3286.84096486714,0.197339289727046,0.0833339219850315,2.36805474921115,0.0178818895151398,0.0348521133443752,FALSE
"SNRPN",100.036283966747,0.256061461968883,0.108156949600761,2.36749892553443,0.0179087720347457,0.0348995378139725,FALSE
"PCDH18",76.0613130819907,-0.352975985153425,0.14911436539067,-2.36714943076511,0.0179256935411968,0.0349275401202761,TRUE
"SUSD2",50.8851770695924,0.609488922668107,0.257515682459152,2.36680312766888,0.0179424743300158,0.0349552603104052,TRUE
"TWNK",61.4043888507148,0.247835717225333,0.104754240736208,2.36587765310077,0.0179873875436826,0.0350377719787704,FALSE
"RO60",287.3798481357,-0.419383640554221,0.177285172001509,-2.36558780308289,0.0180014741804719,0.0350602213795273,TRUE
"FIRRM",39.9360671949618,0.46024397203178,0.194599714691669,2.36508040497905,0.0180261568632324,0.0351032986383322,TRUE
"ABCA8",710.364336304268,-0.401849470735348,0.169941556627917,-2.36463334047945,0.0180479291421204,0.0351406968614398,TRUE
"RNF181",668.866433699266,0.218164851438459,0.0922953828699072,2.36376777098339,0.0180901483096174,0.0352178904360489,FALSE
"TMEM64",451.706696791683,-0.233345486912284,0.0987240173765698,-2.3636141752844,0.0180976491492295,0.0352274820447098,FALSE
"ZNF175",61.6149330543805,-0.255589556941045,0.108163724656249,-2.3629877553988,0.0181282685520143,0.0352820653303282,FALSE
"ZNF669",17.5020294742354,0.409661355628656,0.173408837285557,2.36240183626891,0.0181569493299557,0.0353328605900432,TRUE
"AKR1C1",5232.07968485152,0.242761452099795,0.102770685598807,2.36216631897816,0.0181684891072055,0.0353469831396119,FALSE
"SEC23A",1058.35594973551,0.225653827760806,0.0955290687838164,2.36214830348094,0.0181693720873279,0.0353469831396119,FALSE
"CDK2",143.387786725328,-0.206004701502292,0.0872361582228604,-2.36146003788952,0.0182031336874254,0.0354076304215612,FALSE
"MAPK14",728.693877703756,0.153569456854865,0.0650504092579939,2.36077618275697,0.0182367333314274,0.0354679454844274,FALSE
"TTYH1",8.33127603173338,0.799361394159654,0.338642999943502,2.36048403272183,0.0182511039953373,0.0354908509917854,TRUE
"DPT",172.290185278244,0.493138919314823,0.208997730074647,2.35954198707656,0.0182975101383033,0.0355760369019489,TRUE
"THUMPD1",296.185172474446,0.277052140042344,0.117437678953473,2.35914182323127,0.0183172538617679,0.035609365959113,FALSE
"ZNF792",36.4334624564423,-0.376340538517648,0.159544495464643,-2.35884376594522,0.0183319718563278,0.035632916748431,TRUE
"PGBD2",29.2493144198538,0.338805229295558,0.143717963333372,2.35743132895403,0.0184018584986592,0.0357636801210807,TRUE
"STAC",9.71321973833796,0.62459793466663,0.264975808422056,2.35718852368501,0.0184138958373225,0.0357799295578132,TRUE
"KIAA0513",79.0535800512988,-0.324390797761451,0.137622577370798,-2.35710450973055,0.0184180625262892,0.0357799295578132,TRUE
"ACD",62.8482179669733,-0.30079416073861,0.127610871831124,-2.35712017653692,0.018417285465287,0.0357799295578132,TRUE
"ATP2C1",668.104901392359,-0.172449586629308,0.0731649791840383,-2.3569963191752,0.0184234294742408,0.0357852761544791,FALSE
"LONRF3",54.4233609979212,-0.366973151474841,0.155702668103608,-2.35688415583636,0.018428994942916,0.0357910067814315,TRUE
"SMIM27",26.7418744133534,0.374515935661147,0.158952616228257,2.35614829468009,0.0184655443821882,0.0358569013074103,TRUE
"KRT19",59.3241928004113,0.652691128772909,0.277032167877295,2.35601206088819,0.0184723179247036,0.0358649656855572,TRUE
"RASEF",18.0004113909098,0.636454467370655,0.270174343259848,2.35571764399008,0.0184869637575256,0.0358832202503894,TRUE
"CPSF3",270.363506097601,0.212734394610893,0.0903037768567965,2.35576408889572,0.018484652670661,0.0358832202503894,FALSE
"TMEM222",465.440671195812,0.274938897177213,0.116715234087969,2.3556384847756,0.0184909032829856,0.0358857774150513,FALSE
"WDR26",566.583481019064,0.185274290913922,0.0786686542837553,2.35512215889246,0.0185166173601172,0.0359305863023627,FALSE
"SPOCK2",114.586088615575,-0.385442168465061,0.163735909607903,-2.35404786517554,0.0185702196770519,0.0360270093432406,TRUE
"ZC3H14",513.756760355537,-0.143292244387109,0.0608712743884849,-2.3540207729611,0.0185715732074063,0.0360270093432406,FALSE
"KAT7",261.959827589591,-0.231007162070495,0.0981543268035311,-2.3535097187604,0.0185971217157462,0.0360714580217832,FALSE
"ZEB1",166.533886456062,-0.367926332980024,0.156351499029943,-2.35319990702207,0.0186126247233663,0.0360964123514228,TRUE
"CHLSN",326.8464552514,0.409786813506137,0.174147642647603,2.3530999746885,0.0186176277578238,0.0361009993615155,TRUE
"TMEM156",18.8990891824109,-0.446852865811642,0.189918638471604,-2.3528647288531,0.0186294098027871,0.036118728227928,TRUE
"FBXO25",553.479822030081,0.16963635362205,0.0721100645881274,2.35246431397566,0.0186494791714528,0.036152517272026,FALSE
"ARF1",3719.17228626721,-0.206329005814007,0.0877183275848811,-2.35217669436699,0.0186639067505456,0.0361753615334891,FALSE
"DDHD1",44.8972828656147,0.404368588871621,0.171953114567352,2.35162119563258,0.0186917993307974,0.0362242942001265,TRUE
"TCTA",623.085528399418,0.198829475872473,0.0845596529227326,2.35135160800809,0.0187053489438087,0.0362454205925196,FALSE
"GPR107",709.244195994708,-0.184353178967479,0.0784236319218126,-2.35073503292066,0.0187363706290309,0.0363003919066984,FALSE
